Order_ID,Order_Date,Region,State,Segment,Category,Sub_Category,Ship_Mode,Quantity,Sales,Discount,Profit
ORD-1085,2023-01-29,Central,Illinois,Corporate,Technology,Accessories,Standard Class,6,3682.48,0.3,682.19
ORD-1086,2024-07-20,West,California,Consumer,Furniture,Furnishings,First Class,3,893.46,0.1,59.35
ORD-1087,2024-06-20,East,New Jersey,Consumer,Technology,Machines,Standard Class,2,1215.88,0.0,187.35
ORD-1088,2024-10-25,Central,Texas,Consumer,Office Supplies,Storage,Standard Class,1,38.44,0.1,12.47
ORD-1089,2023-03-25,East,Massachusetts,Consumer,Office Supplies,Paper,Second Class,1,26.2,0.1,1.98
ORD-1090,2024-12-23,South,Florida,Consumer,Office Supplies,Art,Second Class,6,169.08,0.0,10.31
ORD-1091,2023-07-13,East,New Jersey,Corporate,Office Supplies,Binders,Standard Class,6,218.56,0.1,47.62
ORD-1092,2024-04-02,West,California,Home Office,Office Supplies,Storage,Standard Class,3,130.62,0.1,7.53
ORD-1093,2024-03-18,West,Washington,Consumer,Technology,Copiers,Standard Class,7,1735.19,0.0,503.16
ORD-1094,2023-03-19,West,California,Consumer,Office Supplies,Art,Standard Class,6,300.35,0.1,75.22
ORD-1095,2023-05-31,West,Oregon,Consumer,Office Supplies,Paper,Standard Class,5,109.64,0.0,24.66
ORD-1096,2024-01-21,East,Pennsylvania,Consumer,Technology,Phones,Standard Class,3,1428.35,0.0,338.87
ORD-1097,2023-12-30,East,Pennsylvania,Consumer,Office Supplies,Binders,First Class,1,51.4,0.1,16.36
ORD-1098,2023-08-25,Central,Texas,Consumer,Office Supplies,Binders,Standard Class,1,30.03,0.0,9.02
ORD-1099,2023-05-26,South,Georgia,Consumer,Technology,Machines,Standard Class,5,2830.11,0.1,198.54
ORD-1100,2023-01-27,East,Pennsylvania,Consumer,Technology,Accessories,Standard Class,1,346.6,0.15,43.4
ORD-1101,2024-12-02,Central,Texas,Home Office,Furniture,Chairs,Standard Class,2,511.02,0.1,172.51
ORD-1102,2023-01-11,West,California,Consumer,Office Supplies,Paper,First Class,4,184.67,0.0,40.61
ORD-1103,2024-07-01,East,Massachusetts,Corporate,Technology,Machines,Standard Class,7,2414.34,0.1,157.96
ORD-1104,2024-12-13,East,New York,Corporate,Furniture,Chairs,Standard Class,1,253.2,0.15,58.11
ORD-1105,2023-04-12,East,Massachusetts,Consumer,Technology,Phones,Same Day,2,562.47,0.0,164.37
ORD-1106,2024-08-14,South,Florida,Corporate,Technology,Accessories,Standard Class,3,1598.67,0.2,395.89
ORD-1107,2024-05-03,Central,Illinois,Consumer,Technology,Machines,Standard Class,5,2539.83,0.0,575.22
ORD-1108,2024-06-02,South,Georgia,Consumer,Office Supplies,Paper,Standard Class,1,27.74,0.0,4.9
ORD-1109,2024-09-06,Central,Michigan,Consumer,Technology,Accessories,Standard Class,1,500.07,0.1,109.12
ORD-1110,2023-02-08,East,Massachusetts,Consumer,Technology,Copiers,Standard Class,7,3931.14,0.1,976.87
ORD-1111,2023-06-19,Central,Texas,Home Office,Technology,Machines,Standard Class,2,497.02,0.2,103.72
ORD-1112,2024-04-21,South,North Carolina,Consumer,Furniture,Tables,Second Class,6,1619.81,0.15,505.55
ORD-1113,2024-11-19,South,Georgia,Consumer,Furniture,Bookcases,Second Class,3,800.48,0.0,244.82
ORD-1114,2024-02-03,Central,Texas,Home Office,Furniture,Chairs,Standard Class,1,247.91,0.0,83.53
ORD-1115,2023-12-10,Central,Texas,Home Office,Furniture,Tables,First Class,3,1127.79,0.45,-265.09
ORD-1116,2023-04-17,East,New York,Home Office,Office Supplies,Binders,Standard Class,2,68.89,0.0,23.23
ORD-1117,2023-01-20,South,Florida,Consumer,Furniture,Bookcases,Standard Class,2,562.52,0.0,115.08
ORD-1118,2023-03-30,East,New York,Consumer,Furniture,Furnishings,Second Class,1,373.73,0.2,69.97
ORD-1119,2023-06-19,East,Massachusetts,Consumer,Furniture,Chairs,First Class,1,232.26,0.3,-43.03
ORD-1120,2023-02-06,West,Washington,Consumer,Office Supplies,Binders,Standard Class,4,99.33,0.3,34.51
ORD-1121,2023-02-09,West,California,Home Office,Office Supplies,Binders,Standard Class,2,80.06,0.2,21.63
ORD-1122,2023-12-29,East,New Jersey,Consumer,Office Supplies,Binders,Standard Class,5,227.06,0.15,53.49
ORD-1123,2024-06-18,Central,Michigan,Home Office,Technology,Phones,Standard Class,2,583.1,0.0,159.22
ORD-1124,2023-08-12,West,Arizona,Corporate,Office Supplies,Binders,Standard Class,5,212.96,0.45,-22.54
ORD-1125,2024-08-08,Central,Ohio,Consumer,Technology,Copiers,Second Class,1,625.2,0.0,149.91
ORD-1126,2024-12-31,South,Florida,Corporate,Technology,Copiers,Standard Class,1,548.39,0.15,105.33
ORD-1127,2024-12-16,West,Arizona,Home Office,Furniture,Tables,Second Class,4,1247.57,0.1,205.95
ORD-1128,2024-06-21,West,California,Home Office,Office Supplies,Storage,Standard Class,2,61.15,0.45,-4.48
ORD-1129,2023-03-25,West,Oregon,Consumer,Technology,Accessories,Standard Class,6,1755.2,0.2,594.96
ORD-1130,2024-10-20,West,California,Home Office,Technology,Copiers,Same Day,1,416.92,0.0,60.96
ORD-1131,2023-09-28,Central,Illinois,Home Office,Furniture,Furnishings,Second Class,4,1073.21,0.45,-53.89
ORD-1132,2024-11-23,Central,Michigan,Corporate,Office Supplies,Paper,Second Class,4,219.45,0.0,41.39
ORD-1133,2024-12-26,West,Oregon,Consumer,Furniture,Furnishings,Standard Class,6,1388.89,0.1,249.96
ORD-1134,2024-05-09,South,Florida,Corporate,Furniture,Tables,Standard Class,7,2313.3,0.15,641.06
ORD-1135,2024-08-10,South,Florida,Corporate,Furniture,Tables,Standard Class,1,292.73,0.0,57.0
ORD-1136,2023-08-13,West,California,Home Office,Office Supplies,Art,Standard Class,1,51.89,0.0,15.43
ORD-1137,2023-05-23,East,Massachusetts,Consumer,Furniture,Bookcases,Second Class,2,320.59,0.15,107.55
ORD-1138,2024-07-06,West,Oregon,Corporate,Furniture,Tables,Second Class,2,767.6,0.3,-53.59
ORD-1139,2023-01-22,Central,Michigan,Corporate,Furniture,Furnishings,Standard Class,2,540.45,0.0,53.61
ORD-1140,2023-08-31,East,Pennsylvania,Corporate,Furniture,Bookcases,Standard Class,2,464.51,0.1,126.94
ORD-1141,2024-12-23,South,Florida,Consumer,Office Supplies,Storage,Standard Class,6,195.79,0.1,38.76
ORD-1142,2023-11-28,West,Oregon,Consumer,Technology,Phones,Standard Class,1,587.31,0.15,160.23
ORD-1143,2024-11-19,East,New Jersey,Home Office,Technology,Machines,Standard Class,3,1414.41,0.1,378.46
ORD-1144,2024-01-06,East,Pennsylvania,Consumer,Office Supplies,Art,Standard Class,2,105.87,0.0,25.08
ORD-1145,2024-08-21,Central,Michigan,Corporate,Office Supplies,Paper,First Class,2,58.63,0.45,-0.28
ORD-1146,2023-03-25,East,Pennsylvania,Consumer,Furniture,Chairs,Standard Class,2,347.63,0.15,49.94
ORD-1147,2024-11-06,East,Massachusetts,Corporate,Office Supplies,Storage,Standard Class,5,146.48,0.0,46.16
ORD-1148,2023-05-13,East,New Jersey,Corporate,Office Supplies,Paper,Standard Class,4,166.3,0.3,20.91
ORD-1149,2023-11-01,East,New Jersey,Consumer,Furniture,Chairs,Standard Class,1,326.35,0.1,100.93
ORD-1150,2023-10-20,East,Massachusetts,Home Office,Furniture,Tables,Standard Class,4,651.7,0.15,76.52
ORD-1151,2023-10-03,West,Oregon,Corporate,Office Supplies,Binders,Second Class,5,188.98,0.15,10.43
ORD-1152,2024-03-03,East,New York,Consumer,Technology,Accessories,Standard Class,6,1775.16,0.0,252.75
ORD-1153,2024-10-30,Central,Illinois,Home Office,Technology,Copiers,Standard Class,6,3523.54,0.0,908.33
ORD-1154,2024-10-09,South,Georgia,Consumer,Office Supplies,Paper,Second Class,7,286.8,0.0,94.44
ORD-1155,2023-03-10,Central,Texas,Corporate,Office Supplies,Storage,Standard Class,1,24.73,0.15,8.65
ORD-1156,2024-08-11,West,California,Home Office,Technology,Phones,Second Class,7,3747.66,0.2,641.76
ORD-1157,2023-12-31,East,Pennsylvania,Corporate,Office Supplies,Paper,Second Class,3,102.45,0.0,25.07
ORD-1158,2024-08-27,East,New York,Corporate,Office Supplies,Storage,Standard Class,1,41.88,0.1,7.68
ORD-1159,2023-01-03,West,Oregon,Corporate,Office Supplies,Paper,Second Class,5,256.08,0.1,49.62
ORD-1160,2023-10-27,West,Washington,Consumer,Furniture,Chairs,Standard Class,4,1207.91,0.2,355.0
ORD-1161,2023-04-27,Central,Michigan,Consumer,Office Supplies,Binders,Standard Class,4,217.65,0.15,35.7
ORD-1162,2024-01-08,West,California,Consumer,Office Supplies,Paper,Second Class,4,177.81,0.3,37.28
ORD-1163,2023-03-31,East,Pennsylvania,Consumer,Office Supplies,Paper,Same Day,1,39.29,0.0,12.09
ORD-1164,2023-02-05,Central,Michigan,Corporate,Technology,Copiers,Standard Class,4,1733.67,0.2,372.86
ORD-1165,2024-12-26,West,Washington,Corporate,Furniture,Chairs,First Class,4,828.08,0.0,193.19
ORD-1166,2023-10-20,East,New York,Consumer,Technology,Copiers,Standard Class,4,1399.69,0.2,247.92
ORD-1167,2024-11-17,Central,Illinois,Consumer,Technology,Machines,Standard Class,1,534.75,0.2,61.51
ORD-1168,2024-10-11,West,Arizona,Corporate,Office Supplies,Storage,Standard Class,1,34.68,0.1,6.9
ORD-1169,2023-06-16,South,North Carolina,Consumer,Office Supplies,Paper,Standard Class,1,45.24,0.45,-5.99
ORD-1170,2023-12-19,Central,Illinois,Consumer,Technology,Phones,Standard Class,4,1266.99,0.0,149.5
ORD-1171,2024-06-22,East,New Jersey,Consumer,Office Supplies,Art,First Class,5,152.45,0.1,38.73
ORD-1172,2024-09-05,West,Washington,Consumer,Office Supplies,Paper,Standard Class,1,55.84,0.1,8.38
ORD-1173,2023-11-07,East,Pennsylvania,Corporate,Technology,Phones,Second Class,2,557.34,0.1,154.3
ORD-1174,2023-12-14,East,New Jersey,Home Office,Technology,Accessories,Standard Class,3,902.9,0.45,-52.56
ORD-1175,2023-06-10,South,Florida,Consumer,Furniture,Tables,Second Class,5,1782.58,0.2,468.15
ORD-1176,2024-03-24,West,California,Consumer,Office Supplies,Binders,Standard Class,3,149.66,0.0,49.79
ORD-1177,2023-09-01,South,Georgia,Corporate,Technology,Accessories,Standard Class,2,880.92,0.1,186.68
ORD-1178,2023-01-07,Central,Illinois,Corporate,Technology,Machines,Standard Class,4,2269.98,0.0,129.09
ORD-1179,2023-09-10,West,Oregon,Corporate,Office Supplies,Art,First Class,6,191.88,0.15,17.61
ORD-1180,2024-10-14,South,Georgia,Home Office,Furniture,Bookcases,First Class,5,902.2,0.1,182.09
ORD-1181,2024-06-26,West,California,Consumer,Office Supplies,Art,Standard Class,6,309.98,0.0,94.68
ORD-1182,2024-05-31,West,Oregon,Consumer,Office Supplies,Art,Standard Class,3,83.14,0.0,16.24
ORD-1183,2023-05-29,Central,Michigan,Consumer,Technology,Phones,Standard Class,1,553.08,0.0,57.15
ORD-1184,2024-01-15,Central,Texas,Consumer,Office Supplies,Storage,Standard Class,4,108.33,0.15,32.98
ORD-1185,2023-06-04,Central,Texas,Corporate,Technology,Machines,Standard Class,4,1730.62,0.0,287.5
ORD-1186,2024-10-22,South,North Carolina,Consumer,Office Supplies,Storage,Second Class,2,89.67,0.0,21.13
ORD-1187,2024-11-02,East,Pennsylvania,Consumer,Office Supplies,Binders,Standard Class,4,136.0,0.0,33.16
ORD-1188,2024-09-15,East,New Jersey,Consumer,Furniture,Tables,First Class,4,1251.71,0.2,293.18
ORD-1189,2023-04-30,South,Georgia,Consumer,Technology,Phones,Standard Class,1,617.13,0.2,45.0
ORD-1190,2024-12-26,West,Washington,Corporate,Furniture,Furnishings,First Class,1,303.48,0.0,62.37
ORD-1191,2024-05-19,West,Arizona,Corporate,Technology,Accessories,Standard Class,7,3685.71,0.0,263.07
ORD-1192,2024-10-12,West,California,Consumer,Office Supplies,Art,Standard Class,4,192.45,0.15,20.31
ORD-1193,2024-07-03,West,California,Corporate,Office Supplies,Paper,Standard Class,7,167.13,0.45,-3.21
ORD-1194,2024-08-12,Central,Illinois,Consumer,Office Supplies,Storage,Second Class,1,43.54,0.1,2.72
ORD-1195,2024-11-23,South,Florida,Home Office,Furniture,Bookcases,Second Class,7,1961.34,0.15,190.23
ORD-1196,2023-05-04,West,California,Consumer,Technology,Accessories,Standard Class,2,970.35,0.3,118.58
ORD-1197,2024-06-27,West,Arizona,Corporate,Office Supplies,Binders,Standard Class,6,306.89,0.2,99.95
ORD-1198,2024-10-08,West,California,Home Office,Office Supplies,Paper,Second Class,7,307.76,0.0,65.71
ORD-1199,2024-04-07,South,Georgia,Consumer,Office Supplies,Binders,Standard Class,4,198.49,0.0,40.05
ORD-1200,2024-12-03,South,Florida,Corporate,Office Supplies,Binders,Standard Class,6,244.65,0.15,76.33
ORD-1201,2023-05-09,Central,Ohio,Consumer,Office Supplies,Art,Standard Class,4,185.7,0.45,-15.18
ORD-1202,2023-03-07,Central,Michigan,Corporate,Office Supplies,Binders,Second Class,1,34.13,0.1,7.07
ORD-1203,2024-03-12,South,Georgia,Consumer,Furniture,Chairs,Second Class,1,319.59,0.2,96.71
ORD-1204,2024-06-19,East,Massachusetts,Consumer,Technology,Copiers,Second Class,6,2863.31,0.1,497.6
ORD-1205,2023-01-20,Central,Texas,Consumer,Furniture,Tables,Second Class,1,297.05,0.1,72.09
ORD-1206,2023-06-11,West,Arizona,Corporate,Office Supplies,Art,Second Class,6,295.05,0.0,87.78
ORD-1207,2023-04-27,East,Pennsylvania,Consumer,Furniture,Furnishings,Second Class,7,2493.98,0.1,404.12
ORD-1208,2024-04-20,West,California,Consumer,Office Supplies,Paper,Standard Class,3,143.49,0.15,20.06
ORD-1209,2024-07-12,West,Washington,Consumer,Office Supplies,Art,Second Class,6,282.92,0.15,94.8
ORD-1210,2023-09-11,West,Arizona,Consumer,Office Supplies,Paper,Second Class,6,183.34,0.1,25.6
ORD-1211,2023-02-18,South,Georgia,Home Office,Technology,Machines,First Class,5,2116.37,0.1,190.57
ORD-1212,2023-07-01,West,Oregon,Consumer,Technology,Accessories,Second Class,6,2904.54,0.0,799.95
ORD-1213,2023-08-08,Central,Ohio,Consumer,Furniture,Furnishings,Standard Class,7,1482.21,0.3,-277.84
ORD-1214,2024-11-26,Central,Illinois,Consumer,Technology,Machines,Standard Class,3,795.18,0.3,72.98
ORD-1215,2023-07-22,East,New York,Home Office,Technology,Machines,Standard Class,4,1164.78,0.3,195.72
ORD-1216,2024-08-03,South,Tennessee,Consumer,Office Supplies,Binders,Same Day,3,139.14,0.0,21.08
ORD-1217,2024-09-20,West,California,Consumer,Office Supplies,Binders,Standard Class,4,142.52,0.0,36.36
ORD-1218,2024-02-27,East,New Jersey,Consumer,Furniture,Tables,Standard Class,6,1723.26,0.15,203.08
ORD-1219,2023-04-08,South,Georgia,Corporate,Furniture,Tables,Standard Class,3,938.23,0.1,64.44
ORD-1220,2023-02-01,East,New Jersey,Consumer,Office Supplies,Storage,Second Class,7,360.67,0.1,100.1
ORD-1221,2024-01-16,Central,Michigan,Corporate,Furniture,Chairs,Standard Class,1,290.05,0.2,63.06
ORD-1222,2023-08-15,East,New Jersey,Consumer,Office Supplies,Art,Standard Class,6,204.11,0.1,34.54
ORD-1223,2024-05-22,West,California,Consumer,Technology,Copiers,Standard Class,4,2171.97,0.0,312.12
ORD-1224,2024-03-29,Central,Michigan,Corporate,Technology,Copiers,Standard Class,4,1225.65,0.15,194.79
ORD-1225,2024-06-03,South,North Carolina,Corporate,Technology,Phones,Standard Class,5,2665.27,0.2,383.66
ORD-1226,2023-01-16,Central,Illinois,Consumer,Furniture,Furnishings,Second Class,1,254.44,0.45,-26.47
ORD-1227,2024-06-20,West,Washington,Consumer,Technology,Accessories,Standard Class,3,1352.88,0.15,428.97
ORD-1228,2024-03-09,West,California,Home Office,Technology,Copiers,First Class,6,3144.58,0.0,601.72
ORD-1229,2024-04-20,South,Tennessee,Consumer,Office Supplies,Art,First Class,6,162.49,0.15,48.39
ORD-1230,2023-11-10,West,California,Consumer,Office Supplies,Paper,Standard Class,3,131.37,0.15,20.46
ORD-1231,2023-09-29,South,North Carolina,Corporate,Technology,Accessories,Standard Class,2,740.08,0.15,52.47
ORD-1232,2023-07-10,West,California,Home Office,Office Supplies,Binders,Standard Class,3,135.89,0.1,19.24
ORD-1233,2024-04-04,West,Oregon,Corporate,Technology,Phones,First Class,1,546.43,0.2,136.33
ORD-1234,2024-07-11,West,California,Corporate,Technology,Accessories,Standard Class,6,1984.15,0.1,175.9
ORD-1235,2023-09-27,East,Massachusetts,Consumer,Furniture,Furnishings,Standard Class,2,783.12,0.0,205.42
ORD-1236,2024-12-18,South,North Carolina,Home Office,Technology,Phones,Same Day,7,3245.72,0.15,680.96
ORD-1237,2024-04-09,Central,Ohio,Consumer,Furniture,Tables,Standard Class,6,969.19,0.1,130.98
ORD-1238,2023-03-09,South,Florida,Corporate,Office Supplies,Storage,Standard Class,4,203.32,0.15,46.35
ORD-1239,2024-10-31,South,North Carolina,Consumer,Office Supplies,Art,Second Class,4,165.59,0.45,-10.16
ORD-1240,2024-03-20,West,Arizona,Consumer,Office Supplies,Art,Standard Class,1,44.42,0.2,13.93
ORD-1241,2024-07-12,East,New York,Consumer,Technology,Copiers,Standard Class,7,3365.39,0.3,615.91
ORD-1242,2024-03-30,Central,Michigan,Corporate,Office Supplies,Binders,Standard Class,4,98.59,0.1,19.35
ORD-1243,2023-03-28,Central,Illinois,Corporate,Office Supplies,Storage,Standard Class,6,140.9,0.0,22.34
ORD-1244,2023-04-03,East,Pennsylvania,Consumer,Technology,Accessories,Same Day,5,2164.08,0.0,504.74
ORD-1245,2023-07-09,West,Arizona,Consumer,Office Supplies,Binders,Standard Class,3,151.61,0.0,28.63
ORD-1246,2023-12-10,East,New Jersey,Consumer,Office Supplies,Storage,Standard Class,5,154.8,0.2,32.43
ORD-1247,2023-11-29,South,North Carolina,Corporate,Technology,Phones,Standard Class,7,2449.25,0.1,432.41
